0.422,0.356,0.222
0.431,0.345,0.224
0.459,0.324,0.216
0.500,0.312,0.187
0.500,0.333,0.167
0.500,0.308,0.192
0.524,0.333,0.143
0.550,0.300,0.150
0.550,0.300,0.150
0.500,0.318,0.182
0.477,0.341,0.182
0.413,0.349,0.238
0.415,0.358,0.226
0.462,0.385,0.154
0.500,0.250,0.250
0.600,0.200,0.200
0.556,0.333,0.111
0.600,0.200,0.200
0.500,0.333,0.167
0.500,0.333,0.167
0.500,0.318,0.182
0.490,0.327,0.184
0.473,0.324,0.203
0.511,0.319,0.170
0.528,0.306,0.167
0.526,0.316,0.158
0.533,0.300,0.167
0.525,0.300,0.175
0.513,0.308,0.179
0.509,0.321,0.170
0.490,0.327,0.184
0.500,0.326,0.174
0.500,0.333,0.167
0.481,0.333,0.185
0.514,0.297,0.189
