X,Y,Z
0.009999999999492677,0.25019175434376806,0.9500000000075371
0.009999999999516609,0.2495511467119072,0.9500000000076926
0.009999999999541582,0.24891220171550482,0.9500000000077645
0.009999999999566833,0.2482848137776542,0.9500000000077414
0.009999999999591584,0.24767863968032133,0.9500000000076162
0.009999999999615093,0.2471028984488048,0.9500000000073835
0.009999999999636687,0.2465661780847573,0.950000000007038
0.009999999999655769,0.24607625299564792,0.9500000000065744
0.009999999999671839,0.2456399159263921,0.950000000005989
0.009999999999684516,0.24526282810169028,0.9500000000052821
0.009999999999693537,0.24494939112092645,0.9500000000044587
0.009999999999698776,0.2447026438987295,0.9500000000035297
0.009999999999700254,0.24452418760371603,0.9500000000025136
0.00999999999969813,0.24441414110883497,0.9500000000014371
0.009999999999692677,0.24437112892540927,0.9500000000003349
0.009999999999684253,0.24439230294839734,0.9499999999992469
0.009999999999673296,0.24447339859512396,0.9499999999982148
0.00999999999966032,0.24460882508255474,0.9499999999972778
0.009999999999645895,0.24479178867769097,0.9499999999964704
0.009999999999630615,0.24501444680211032,0.9499999999958221
0.009999999999615086,0.2452680899154709,0.9499999999953558
0.009999999999599897,0.24554334718948176,0.9499999999950876
0.009999999999585603,0.24583041115767695,0.9499999999950263
0.009999999999572703,0.24611927582487908,0.9499999999951737
0.009999999999561622,0.24639998217202994,0.9499999999955254
0.009999999999552705,0.2466628646173421,0.9499999999960708
0.009999999999546238,0.24689879180757662,0.9499999999967911
0.009999999999542443,0.24709939512279072,0.9499999999976615
0.009999999999541457,0.24725727848781054,0.9499999999986518
0.00999999999954333,0.24736620349147045,0.9499999999997265
0.009999999999548021,0.247421244412254,0.9500000000008456
0.009999999999555398,0.24741890852467247,0.9500000000019656
0.009999999999565244,0.24735721800067892,0.9500000000030412
0.009999999999577234,0.2472357508078758,0.9500000000040271
0.009999999999590925,0.24705563921861648,0.9500000000048797
0.00999999999960578,0.24681952584977102,0.9500000000055601
0.009999999999621192,0.24653147851037993,0.9500000000060352
0.009999999999636506,0.24619686649369305,0.9500000000062813
0.009999999999651057,0.24582220225594162,0.9500000000062839
0.00999999999966422,0.2454149536191086,0.9500000000060397
0.009999999999675454,0.24498333266138345,0.9500000000055574
0.009999999999684329,0.24453606826138313,0.9500000000048584
0.009999999999690519,0.2440821697903632,0.9500000000039764
0.009999999999693794,0.24363068966074222,0.9500000000029541
0.009999999999694009,0.2431904923161314,0.9500000000018404
0.009999999999691095,0.2427700367863759,0.9500000000006866
0.009999999999685037,0.24237717915378693,0.9499999999995435
